Fighter Name,Fighter Record,Fighter Height,Fighter Weight,Fighter Reach,Fighter Stance,Fighter DOB,Fighter SLpM,Fighter Striking Accuracy,Fighter SApM,Fighter Striking Defence,Fighter Take Down Average,Fighter Take Down Accuracy,Fighter Take Down Defence,Fighter Submission Average,wins,loss,tie
Dmitrii Smoliakov,"['8', '2', '0']",74,253,74,Switch,"Aug05,1982",1.63,43,3.35,56,0.0,0,75,0.0,8,2,0
Louis Smolka,"['11', '5', '0']",69,125,68,Orthodox,"Jul16,1991",3.88,45,3.39,52,1.6,34,31,2.2,11,5,0
Peter Sobotta,"['17', '6', '1']",72,170,75,Southpaw,"Jan11,1987",2.17,39,2.89,59,1.76,35,77,0.6,17,6,1
Renato Sobral,"['36', '9', '0']",73,205,75,Orthodox,"Sep07,1975",2.23,45,1.53,57,2.48,42,65,2.6,36,9,0
Rameau Thierry Sokoudjou,"['12', '10', '0']",70,205,78,Orthodox,"Apr18,1984",2.26,45,2.61,56,1.93,47,78,0.9,12,10,0
Chael Sonnen,"['29', '14', '1']",73,205,74,Southpaw,"Apr03,1977",3.08,43,1.1,62,3.81,59,66,0.4,29,14,1
Sean Soriano,"['8', '3', '0']",69,145,70,Orthodox,"Oct06,1989",3.15,61,2.31,52,1.27,42,55,0.0,8,3,0
Dmitry Sosnovskiy,"['11', '0', '0']",75,240,77,Orthodox,"Jul06,1989",2.95,70,2.53,35,3.16,66,100,3.2,11,0,0
Krzysztof Soszynski,"['26', '12', '1']",73,205,77,OpenStance,"Aug02,1977",3.37,39,3.13,58,0.52,25,71,1.0,26,12,1
George Sotiropoulos,"['14', '6', '0']",70,155,71,Orthodox,"Jul09,1977",2.61,27,2.52,67,2.32,31,53,1.6,14,6,0
Greg Soto,"['8', '2', '0']",71,170,73,Orthodox,"Jun03,1986",3.21,63,2.61,52,1.49,27,44,1.0,8,2,0
Alex Soto,"['6', '2', '1']",68,135,71,Southpaw,"Feb15,1984",2.95,25,5.02,59,2.82,30,0,0.0,6,2,1
Joe Soto,"['18', '7', '0']",66,135,65,Orthodox,"Mar22,1987",3.36,41,5.37,67,0.85,21,70,1.9,18,7,0
Andre Soukhamthath,"['12', '6', '0']",69,135,70,Orthodox,"Oct23,1988",2.62,40,3.64,58,1.17,50,80,0.0,12,6,0
Jacare Souza,"['25', '5', '0 (1 NC)']",73,185,72,Orthodox,"Dec07,1979",2.28,44,2.19,63,3.35,44,58,1.8,25,5,0
Kevin Souza,"['19', '4', '0']",72,145,74,Orthodox,"Oct17,1984",4.65,44,2.91,58,0.0,0,50,0.0,19,4,0
Tommy Speer,"['19', '5', '0']",70,170,71,Orthodox,"Aug20,1984",2.56,51,5.12,35,2.02,33,33,0.0,19,5,0
Eric Spicely,"['10', '4', '0']",73,185,73,Orthodox,"Sep29,1986",1.96,61,2.45,55,2.5,25,0,1.9,10,4,0
Daniel Spitz,"['6', '1', '0']",79,245,82,Orthodox,"Jul31,1990",3.64,39,5.97,45,1.95,66,0,0.0,6,1,0
Daniel Spohn,"['15', '6', '0']",76,205,79,Southpaw,"Oct12,1984",2.42,49,1.6,53,0.0,0,28,2.5,15,6,0
Georges St-Pierre,"['26', '2', '0']",71,185,76,Orthodox,"May19,1981",3.78,53,1.4,72,4.16,74,83,1.1,26,2,0
Andreas Stahl,"['9', '2', '0']",71,170,73,Orthodox,"May20,1988",2.83,37,4.74,57,1.55,66,80,0.0,9,2,0
Ron Stallings,"['13', '8', '0 (1 NC)']",74,170,75,Southpaw,"Jan25,1983",3.22,60,3.26,51,0.0,0,71,0.0,13,8,0
Cody Stamann,"['17', '1', '0']",66,135,64,Orthodox,"Nov09,1989",5.67,51,3.38,63,4.0,66,92,0.0,17,1,0
Cristina Stanciu,"['5', '2', '0']",63,115,64,Orthodox,"Mar29,1994",2.5,50,3.07,52,0.85,100,40,1.7,5,2,0
Brian Stann,"['12', '6', '0']",73,205,74,Orthodox,"Sep24,1980",3.28,42,2.65,59,0.12,12,60,0.3,12,6,0
Clifford Starks,"['8', '2', '0']",72,185,77,Orthodox,"Apr25,1981",1.94,33,2.49,58,1.94,100,60,0.0,8,2,0
Kalib Starnes,"['12', '7', '1']",75,185,74,Orthodox,"Jan06,1975",2.71,48,4.43,53,1.46,33,25,0.6,12,7,1
Damian Stasiak,"['10', '5', '0']",65,135,70,Orthodox,"Feb20,1990",1.92,34,3.35,51,2.55,34,46,0.8,10,5,0
Dominique Steele,"['14', '9', '0']",70,170,74,Orthodox,"Jan27,1988",2.32,49,2.42,50,2.95,42,76,0.0,14,9,0
Steve Steinbeiss,"['7', '4', '0']",75,185,75,Orthodox,"May05,1981",3.92,55,1.86,49,0.44,50,58,0.0,7,4,0
Jeremy Stephens,"['28', '14', '0']",68,145,71,Orthodox,"May25,1986",3.08,40,2.71,60,1.17,36,64,0.4,28,14,0
Aljamain Sterling,"['14', '3', '0']",67,135,71,Orthodox,"Jul31,1989",3.63,48,1.38,68,2.15,41,52,0.9,14,3,0
Joe Stevenson,"['31', '14', '0']",67,145,70,Orthodox,"Jun15,1982",2.05,44,2.44,60,2.75,44,39,2.2,31,14,0
Maia Stevenson,"['6', '5', '0']",64,115,62,Orthodox,"Mar19,1982",1.57,54,3.13,33,3.91,100,50,0.0,6,5,0
Darren Stewart,"['7', '3', '0 (1 NC)']",72,185,74,Orthodox,"Dec30,1990",2.75,47,2.75,48,3.22,42,50,0.0,7,3,0
Kyle Stewart,"['7', '0', '0']",72,170,76,Orthodox,"Jan31,1989",2.24,48,1.31,56,0.0,0,0,0.0,7,0,0
Lazar Stojadinovic,"['12', '5', '0']",67,145,68,Southpaw,"Mar22,1989",1.82,29,1.97,59,0.0,0,0,0.0,12,5,0
Rick Story,"['19', '9', '0']",69,170,71,Southpaw,"Aug28,1984",3.8,41,2.17,62,2.53,48,63,0.9,19,9,0
Sam Stout,"['21', '12', '1']",69,155,70,Orthodox,"Apr23,1984",4.17,28,4.08,57,0.63,38,77,0.1,21,12,1
Sean Strickland,"['19', '1', '1']",73,170,76,Orthodox,"Feb27,1991",4.08,35,3.43,65,1.51,57,81,0.6,19,1,1
Hans Stringer,"['22', '7', '3']",75,205,73,Orthodox,"Jul06,1987",3.16,61,2.84,41,2.4,36,62,0.0,22,7,3
Stefan Struve,"['32', '10', '0']",83,265,84,Orthodox,"Feb18,1988",3.25,46,4.03,48,0.6,50,59,2.0,32,10,0
George Sullivan,"['17', '6', '0 (1 NC)']",72,170,73,Orthodox,"Mar13,1981",3.6,39,2.46,57,1.39,20,40,0.7,17,6,0
Cub Swanson,"['25', '8', '0']",68,145,70,Orthodox,"Nov02,1983",4.21,50,3.23,62,1.25,52,57,0.6,25,8,0
Mike Swick,"['15', '6', '0']",73,170,77,Orthodox,"Jun19,1979",2.36,37,2.29,54,1.06,50,61,0.6,15,6,0
Bentley Syler,"['5', '1', '0']",64,125,68,Orthodox,"Dec22,1982",1.3,18,1.73,79,0.0,0,75,0.0,5,1,0
Tim Sylvia,"['30', '7', '0 (1 NC)']",80,265,80,Orthodox,"Mar05,1976",4.23,41,2.61,61,0.11,100,75,0.1,30,7,0
