Fighter Name,Fighter Height,Fighter Weight,Fighter Reach,Fighter Stance,Fighter DOB,Fighter SLpM,Fighter Striking Accuracy,Fighter SApM,Fighter Striking Defence,Fighter Take Down Average,Fighter Take Down Accuracy,Fighter Take Down Defence,Fighter Submission Average,wins,loss,tie,total,win percent
Ron Stallings,74,170,75,Southpaw,"Jan25,1983",3.22,60,3.26,51,0.0,0,71,0.0,13,8,0,21,0.6190476190476191
Cody Stamann,66,135,64,Orthodox,"Nov09,1989",5.67,51,3.38,63,4.0,66,92,0.0,17,1,0,18,0.9444444444444444
Cristina Stanciu,63,115,64,Orthodox,"Mar29,1994",2.5,50,3.07,52,0.85,100,40,1.7,5,2,0,7,0.7142857142857143
Brian Stann,73,205,74,Orthodox,"Sep24,1980",3.28,42,2.65,59,0.12,12,60,0.3,12,6,0,18,0.6666666666666666
Clifford Starks,72,185,77,Orthodox,"Apr25,1981",1.94,33,2.49,58,1.94,100,60,0.0,8,2,0,10,0.8
Kalib Starnes,75,185,74,Orthodox,"Jan06,1975",2.71,48,4.43,53,1.46,33,25,0.6,12,7,1,20,0.6
Damian Stasiak,65,135,70,Orthodox,"Feb20,1990",1.92,34,3.35,51,2.55,34,46,0.8,10,5,0,15,0.6666666666666666
Dominique Steele,70,170,74,Orthodox,"Jan27,1988",2.32,49,2.42,50,2.95,42,76,0.0,14,9,0,23,0.6086956521739131
Steve Steinbeiss,75,185,75,Orthodox,"May05,1981",3.92,55,1.86,49,0.44,50,58,0.0,7,4,0,11,0.6363636363636364
Jeremy Stephens,68,145,71,Orthodox,"May25,1986",3.08,40,2.71,60,1.17,36,64,0.4,28,14,0,42,0.6666666666666666
Aljamain Sterling,67,135,71,Orthodox,"Jul31,1989",3.63,48,1.38,68,2.15,41,52,0.9,14,3,0,17,0.8235294117647058
Joe Stevenson,67,145,70,Orthodox,"Jun15,1982",2.05,44,2.44,60,2.75,44,39,2.2,31,14,0,45,0.6888888888888889
Maia Stevenson,64,115,62,Orthodox,"Mar19,1982",1.57,54,3.13,33,3.91,100,50,0.0,6,5,0,11,0.5454545454545454
Darren Stewart,72,185,74,Orthodox,"Dec30,1990",2.75,47,2.75,48,3.22,42,50,0.0,7,3,0,10,0.7
Kyle Stewart,72,170,76,Orthodox,"Jan31,1989",2.24,48,1.31,56,0.0,0,0,0.0,7,0,0,7,1.0
Lazar Stojadinovic,67,145,68,Southpaw,"Mar22,1989",1.82,29,1.97,59,0.0,0,0,0.0,12,5,0,17,0.7058823529411765
Rick Story,69,170,71,Southpaw,"Aug28,1984",3.8,41,2.17,62,2.53,48,63,0.9,19,9,0,28,0.6785714285714286
Sam Stout,69,155,70,Orthodox,"Apr23,1984",4.17,28,4.08,57,0.63,38,77,0.1,21,12,1,34,0.6176470588235294
Sean Strickland,73,170,76,Orthodox,"Feb27,1991",4.08,35,3.43,65,1.51,57,81,0.6,19,1,1,21,0.9047619047619048
Hans Stringer,75,205,73,Orthodox,"Jul06,1987",3.16,61,2.84,41,2.4,36,62,0.0,22,7,3,32,0.6875
Stefan Struve,83,265,84,Orthodox,"Feb18,1988",3.25,46,4.03,48,0.6,50,59,2.0,32,10,0,42,0.7619047619047619
George Sullivan,72,170,73,Orthodox,"Mar13,1981",3.6,39,2.46,57,1.39,20,40,0.7,17,6,0,23,0.7391304347826086
Cub Swanson,68,145,70,Orthodox,"Nov02,1983",4.21,50,3.23,62,1.25,52,57,0.6,25,8,0,33,0.7575757575757576
Mike Swick,73,170,77,Orthodox,"Jun19,1979",2.36,37,2.29,54,1.06,50,61,0.6,15,6,0,21,0.7142857142857143
Bentley Syler,64,125,68,Orthodox,"Dec22,1982",1.3,18,1.73,79,0.0,0,75,0.0,5,1,0,6,0.8333333333333334
Tim Sylvia,80,265,80,Orthodox,"Mar05,1976",4.23,41,2.61,61,0.11,100,75,0.1,30,7,0,37,0.8108108108108109
Mairbek Taisumov,69,155,73,Orthodox,"Aug08,1988",3.21,43,2.09,62,2.17,77,85,0.0,26,5,0,31,0.8387096774193549
Nordine Taleb,73,170,74,Orthodox,"Jun10,1981",3.3,54,1.96,69,2.45,78,72,0.0,14,4,0,18,0.7777777777777778
Akitoshi Tamura,69,135,70,Orthodox,"May31,1980",3.73,43,1.94,78,0.0,0,20,1.0,16,11,2,29,0.5517241379310345
Issei Tamura,65,135,63,Orthodox,"Mar12,1984",1.89,53,4.58,44,0.92,25,33,0.0,7,4,0,11,0.6363636363636364
Michinori Tanaka,65,135,67,Orthodox,"Oct04,1990",1.97,37,1.99,50,2.4,38,43,0.2,11,3,0,14,0.7857142857142857
Evan Tanner,72,185,74,Orthodox,"Feb11,1971",3.05,59,2.64,56,2.55,43,25,1.3,32,8,0,40,0.8
Manny Tapia,65,135,67,Orthodox,"Mar14,1981",2.69,21,4.74,58,0.49,40,66,0.2,11,4,1,16,0.6875
Miesha Tate,66,135,65,Orthodox,"Aug18,1986",1.93,41,2.71,50,2.06,31,52,1.6,18,7,0,25,0.72
Deividas Taurosevicius,69,145,68,Southpaw,"Aug28,1977",2.13,43,1.82,59,2.0,28,50,0.3,13,5,0,18,0.7222222222222222
Thiago Tavares,67,145,68,Orthodox,"Nov08,1984",2.0,40,2.31,62,3.83,42,62,1.5,24,7,1,32,0.75
Brad Tavares,73,185,74,Orthodox,"Dec21,1987",3.15,42,2.51,56,1.16,32,76,0.0,16,5,0,21,0.7619047619047619
Paul Taylor,72,155,72,Orthodox,"Dec15,1979",4.44,47,4.47,55,0.27,25,56,0.5,11,6,1,18,0.6111111111111112
